hex,accommodation,sports,public,company,healthcare,residense,government,life,technology,shop,finance,landscape,dining
873082490ffffff,0.105263158,0.210526316,1.736842105,1.157894737,0.368421053,0.105263158,0.789473684,0.315789474,0.263157895,0.105263158,0,0.157894737,0.315789474
873082491ffffff,0.052631579,0.105263158,1.421052632,0.473684211,0.052631579,0,0.263157895,0.263157895,0.157894737,0.105263158,0,0.157894737,0.105263158
873082492ffffff,0.421052632,0.578947368,1.789473684,1.684210526,0.578947368,0.368421053,1.210526316,0.473684211,0.631578947,0.315789474,0.105263158,0.947368421,0.894736842
873082493ffffff,0.105263158,0.157894737,2.105263158,0.684210526,0.315789474,0.157894737,0.526315789,0.421052632,0.368421053,0.210526316,0.105263158,0.684210526,0.210526316
873082494ffffff,0.052631579,0.157894737,1.157894737,1.105263158,0.315789474,0,0.526315789,0.315789474,0.210526316,0.105263158,0,0.105263158,0.263157895
873082495ffffff,0.052631579,0.105263158,0.631578947,0.473684211,0.052631579,0,0.105263158,0.263157895,0.105263158,0.105263158,0,0.105263158,0.105263158
873082496ffffff,0.105263158,0.263157895,1.684210526,1.421052632,0.368421053,0.105263158,0.842105263,0.315789474,0.263157895,0.105263158,0,0.105263158,0.315789474
8730824b2ffffff,0.052631579,0.105263158,0.578947368,1.052631579,0.315789474,0,0.473684211,0.315789474,0.157894737,0.052631579,0,0.105263158,0.157894737
8730824b3ffffff,0.052631579,0.052631579,0.105263158,0.368421053,0.052631579,0,0.052631579,0.263157895,0.105263158,0.052631579,0,0.105263158,0
873090209ffffff,0.157894737,0.052631579,1.105263158,1.631578947,0.421052632,0.368421053,1.263157895,0.578947368,0.368421053,0.052631579,0.263157895,0.157894737,0.789473684
87309020dffffff,0.157894737,0.052631579,0.842105263,1.368421053,0.157894737,0.315789474,0.473684211,0.210526316,0.210526316,0,0,0.157894737,0.421052632
873090240ffffff,0.157894737,0.684210526,3,3.368421053,0.684210526,1,2.315789474,0.736842105,0.578947368,0.157894737,0.368421053,0.315789474,1.263157895
873090241ffffff,0.210526316,0.684210526,2.526315789,2.157894737,0.526315789,0.842105263,1.947368421,1.473684211,0.578947368,0.157894737,0.421052632,0.368421053,1.631578947
873090242ffffff,0.157894737,0.526315789,2.894736842,3.315789474,0.684210526,0.842105263,2.105263158,0.736842105,0.578947368,0.105263158,0.368421053,0.368421053,1.210526316
873090244ffffff,0.157894737,0.631578947,3.105263158,3.105263158,0.684210526,0.789473684,2.263157895,0.736842105,0.526315789,0.157894737,0.368421053,0.315789474,1.157894737
873090246ffffff,0.157894737,0.631578947,3,3.315789474,0.684210526,0.736842105,2.473684211,0.736842105,0.684210526,0.157894737,0.368421053,0.368421053,1.157894737
873090248ffffff,0.526315789,1.052631579,2.894736842,5.578947368,1.052631579,1.368421053,3.263157895,1.842105263,0.789473684,0.473684211,0.684210526,0.473684211,2.842105263
873090249ffffff,0.736842105,0.842105263,2.789473684,9.736842105,1.052631579,1.789473684,3.526315789,1.789473684,1.052631579,0.526315789,0.894736842,0.578947368,3.105263158
87309024affffff,0.210526316,0.736842105,2.789473684,2.105263158,0.842105263,0.842105263,2,1.421052632,0.526315789,0.368421053,0.315789474,0.473684211,2.157894737
