H3解析度 ?,六边形平均面积(km^2),六边形平均长度(km),唯一索引数,,,,,,,,,,,,
0 ,"4,250,546.8477 ","1,107.712591 ",122 ,,H3分层层级 ?,六边形平均面积(km^2),计算个数,面积(km^2),,H3分层层级 ?,面积(km^2),面积-160000(km^2),,H3分层层级 ?,面积-160000(km^2)
1 ,"607,220.9782429 ",418.6760055 ,842 ,,3,"12,393.43",13,161114.6505,,3,161114.6505,"1,114.6505161440 ",,3,"1,114.6505161440 "
2 ,"86,745.8540347 ",158.2446558 ,"5,882 ",,4,"1,770.35",92,162871.9842,,4,162871.9842,"2,871.9842131720 ",,4,"2,871.9842131720 "
3 ,"12,392.2648621 ",59.8108579 ,"41,162 ",,5,252.9038582,636,160846.8538,,5,160846.8538,846.8538152000 ,,5,846.8538152000 
4 ,"1,770.3235517 ",22.6063794 ,"288,122 ",,6,36.12906216,4420,159690.4548,,6,159690.4548,(309.5452351200),,6,(309.5452351200)
5 ,252.9033645 ,8.544408276 ,"2,016,842 ",,7,5.16129336,31055,160283.9653,,7,160283.9653,283.9652948000 ,,7,283.9652948000 
6 ,36.1290521 ,3.229482772 ,"14,117,882 ",,8,0.737327598,217377,160278.0613,,8,160278.0613,278.0612704460 ,,8,278.0612704460 
7 ,5.1612932 ,1.220629759 ,"98,825,162 ",,9,0.105332513,1521807,160295.7556,,9,160295.7556,295.7556109910 ,,9,295.7556109910 
8 ,0.7373276 ,0.461354684 ,"691,776,122 ",,10,0.015047502,10652560,160294.4179,,10,160294.4179,294.4179051200 ,,10,294.4179051200 
9 ,0.1053325 ,0.174375668 ,"4,842,432,842 ",,11,0.002149643,74567839,160294.2331,,11,160294.2331,294.2331314770 ,,11,294.2331314770 
10 ,0.0150475 ,0.065907807 ,"33,897,029,882 ",,,,,,,,,,,,
11 ,0.0021496 ,0.024910561 ,"237,279,209,162 ",,,,,,,,,,,,
12 ,0.0003071 ,0.009415526 ,"1,660,954,464,122 ",,,,,,,,,,,,
13 ,0.0000439 ,0.003559893 ,"11,626,681,248,842 ",,,,,,,,,,,,
14 ,0.0000063 ,0.001348575 ,"81,386,768,741,882 ",,,,,,,,,,,,
15 ,0.0000009 ,0.000509713 ,"569,707,381,193,162 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,"4,357,449.42","2,562,182.16",0.588,,0,1107.712591,,1107.712591,,0,122,110,12,,
1,"609,788.44","328,434.59",0.5386,,1,418.6760055,,418.6760055,,1,842,830,12,,
2,"86,801.78","44,930.90",0.5176,,2,158.2446558,,158.2446558,,2,"5,882","5,870",12,,
3,"12,393.43","6,315.47",0.5096,,3,59.81085794,,59.81085794,,3,"41,162","41,150",12,,
4,"1,770.35",896.5823831,0.5064,,4,22.6063794,,22.6063794,,4,"288,122","288,110",12,,
5,252.9038582,127.785583,0.5053,,5,8.544408276,,8.544408276,,5,"2,016,842","2,016,830",12,,
6,36.12906216,18.23874955,0.5048,,6,3.229482772,,3.229482772,,6,"14,117,882","14,117,870",12,,
7,5.16129336,2.604669397,0.5047,,7,1.220629759,,1.220629759,,7,"98,825,162","98,825,150",12,,
8,0.737327598,0.372048038,0.5046,,8,0.461354684,,0.461354684,,8,"691,776,122","691,776,110",12,,
9,0.105332513,0.053147195,0.5046,,9,0.174375668,,0.174375668,,9,"4,842,432,842","4,842,432,830",12,,
10,0.015047502,0.007592318,0.5046,,10,0.065907807,,0.065907807,,10,"33,897,029,882","33,897,029,870",12,,
11,0.002149643,0.001084609,0.5046,,11,0.024910561,,0.024910561,,11,"237,279,209,162","237,279,209,150",12,,
12,0.000307092,0.000154944,0.5046,,12,0.009415526,,0.009415526,,12,"1,660,954,464,122","1,660,954,464,110",12,,
13,0.00004387,0.000022135,0.5046,,13,0.003559893,,0.003559893,,13,"11,626,681,248,842","11,626,681,248,830",12,,
14,0.000006267,0.000003162,0.5046,,14,0.001348575,,0.001348575,,14,"81,386,768,741,882","81,386,768,741,870",12,,
15,0.000000895,0.000000452,0.5046,,15,0.000509713,,0.000509713,,15,"569,707,381,193,162","569,707,381,193,150",12,,
